声明|此应用由是白白吖独立制作
信息素手雷|GiveItem 104220001 1 0 0
治疗烟雾弹|GiveItem 104230001 1 0 0
“恶疫克星”燃烧瓶|GiveItem 104240001 1 0 0
实验型投弹无人机|GiveItem 104970001 1 0 0
快速回收装置|GiveItem 104980001 1 0 0
阔剑地雷|GiveItem 104980002 1 0 0
铁丝网布设器|GiveItem 104980003 1 0 0
C4粘性炸弹|GiveItem 104980004 1 0 0
快速回收装置Ⅰ型|GiveItem 104980018 1 0 0
快速回收装置Ⅱ型|GiveItem 104980019 1 0 0
联网回收装置|GiveItem 104980020 1 0 0
便携式摄像头套组|GiveItem 104990001 1 0 0
战区扫描终端|GiveItem 104990002 1 0 0
全域侦察终端|GiveItem 104990003 1 0 0
实验型侦察无人机|GiveItem 104990004 1 0 0
生命探测仪|GiveItem 104990005 1 0 0
特供型四轴无人机|GiveItem 104990006 1 0 0
特供型生命探测仪|GiveItem 104990007 1 0 0
特供型战区扫描终端|GiveItem 104990008 1 0 0
待定|GiveItem 104990009 1 0 0
“蛇眼”热成像摄像头|GiveItem 104990015 1 0 0
151型手持电台复刻款|GiveItem 104990016 1 0 0
两轮式战术侦察车|GiveItem 104990017 1 0 0
简易相机|GiveItem 104990018 1 0 0
作战记录仪|GiveItem 104990019 1 0 0
信源扫描仪|GiveItem 106000001 1 0 0
信号追踪器|GiveItem 106000002 1 0 0
信号追踪器|GiveItem 106000003 1 0 0
卡莫纳里程仪|GiveItem 106000005 1 0 0
“夜影之门”思维加速装置|GiveItem 106000006 1 0 0
轨迹探测仪|GiveItem 106000007 1 0 0
近卫营专用单兵电台|GiveItem 106000009 1 0 0
雷达侦察装置|GiveItem 106000010 1 0 0
战区扫描终端-沙暴模式2|GiveItem 106000011 1 0 0
战区扫描终端-沙暴模式3|GiveItem 106000012 1 0 0
试作型思考战车“塔奇克马”|GiveItem 106000013 1 0 0
身份牌扫描终端|GiveItem 106000014 1 0 0
嘲讽报警器|GiveItem 106000015 1 0 0
高价值物品扫描仪|GiveItem 106000016 1 0 0
简易相机|GiveItem 106000017 1 0 0
定制照相机|GiveItem 106000018 1 0 0
遗留箱探测器|GiveItem 106000019 1 0 0
单兵防弹盾|GiveItem 107010001 1 0 0
单兵防弹盾|GiveItem 107010002 1 0 0
闪光防弹盾牌|GiveItem 107010003 1 0 0
RPT标准手提把|GiveItem 201010019 1 0 0
M1战术红点|GiveItem 201030119 1 0 0
BM59 3倍镜|GiveItem 201030214 1 0 0
T11 3倍镜|GiveItem 201030215 1 0 0
G36 1.5x提把|GiveItem 201030309 1 0 0
G36 3x提把|GiveItem 201030310 1 0 0
折叠准星|GiveItem 201030601 1 0 0
莫辛纳甘标准照门|GiveItem 201030602 1 0 0
FAL标配照门|GiveItem 201030604 1 0 0
AR 15标准照门|GiveItem 201030605 1 0 0
AKM标准照门|GiveItem 201030606 1 0 0
MP5鼓状照门|GiveItem 201030609 1 0 0
AR 15提把照门|GiveItem 201030610 1 0 0
SKS标准照门|GiveItem 201030611 1 0 0
折叠快速照门|GiveItem 201030612 1 0 0
M9A3经典准星|GiveItem 201030613 1 0 0
M9A3经典照门|GiveItem 201030614 1 0 0
莫辛纳甘标准准星|GiveItem 201030615 1 0 0
SVDS标准战术准星|GiveItem 201030616 1 0 0
SVDS标准战术照门|GiveItem 201030617 1 0 0
折叠快速准星|GiveItem 201030619 1 0 0
VSS标准照门|GiveItem 201030620 1 0 0
SIG标准照门|GiveItem 201030621 1 0 0
SIG标准准星|GiveItem 201030622 1 0 0
AK系列多用照门|GiveItem 201030627 1 0 0
M14 U型准星|GiveItem 201030628 1 0 0
M14 V型准星|GiveItem 201030629 1 0 0
M14扩大版军用照门|GiveItem 201030630 1 0 0
OK照门|GiveItem 201030632 1 0 0
大拇指准星|GiveItem 201030633 1 0 0
RPK16标准照门|GiveItem 201030634 1 0 0
S12K标准照门|GiveItem 201030635 1 0 0
M1911标准准星|GiveItem 201030637 1 0 0
M1911标准照门|GiveItem 201030638 1 0 0
MG3照门|GiveItem 201030639 1 0 0
QC61准星|GiveItem 201030640 1 0 0
QC61照门|GiveItem 201030641 1 0 0
T85照门|GiveItem 201030642 1 0 0
T85准星|GiveItem 201030643 1 0 0
BM59照门|GiveItem 201030644 1 0 0
SJ16准星|GiveItem 201030645 1 0 0
SJ16照门|GiveItem 201030646 1 0 0
F57准星|GiveItem 201030647 1 0 0
F57照门|GiveItem 201030648 1 0 0
M24准星|GiveItem 201030649 1 0 0
M24照门|GiveItem 201030650 1 0 0
ACE31准星|GiveItem 201030651 1 0 0
ACE31照门|GiveItem 201030652 1 0 0
Vector专用准星|GiveItem 201030653 1 0 0
Vector专用照门|GiveItem 201030654 1 0 0
D45斜准星|GiveItem 201030655 1 0 0
D45斜照门|GiveItem 201030656 1 0 0
AR15斜准星|GiveItem 201030657 1 0 0
AR15斜照门|GiveItem 201030658 1 0 0
Suomi标准照门|GiveItem 201030659 1 0 0
SCAR-L准星|GiveItem 201030660 1 0 0
SCAR-L照门|GiveItem 201030661 1 0 0
BIZON照门|GiveItem 201030662 1 0 0
SG550准星|GiveItem 201030663 1 0 0
SG550照门|GiveItem 201030664 1 0 0
G3照门|GiveItem 201030665 1 0 0
AK12照门|GiveItem 201030666 1 0 0
RPD照门|GiveItem 201030667 1 0 0
RPD准星|GiveItem 201030668 1 0 0
M249照门|GiveItem 201030670 1 0 0
DBR准星|GiveItem 201030671 1 0 0
DBR照门|GiveItem 201030672 1 0 0
T88可折叠准星|GiveItem 201030673 1 0 0
T88可折叠照门|GiveItem 201030674 1 0 0
ARX160可折叠准星|GiveItem 201030675 1 0 0
ARX160可折叠照门|GiveItem 201030676 1 0 0
QBZ19X准星|GiveItem 201030677 1 0 0
RPG7照门|GiveItem 201030678 1 0 0
RPG-7准星|GiveItem 201030679 1 0 0
T11照门|GiveItem 201030680 1 0 0
Negev-7照门|GiveItem 201030681 1 0 0
G28照门|GiveItem 201030682 1 0 0
SCAR-HAMR准星|GiveItem 201030683 1 0 0
蛇式准星|GiveItem 201030684 1 0 0
蛇式照门|GiveItem 201030685 1 0 0
FAL托芯转接器|GiveItem 201040122 1 0 0
乌兹转接器|GiveItem 201040141 1 0 0
AK74聚合物后托|GiveItem 201040143 1 0 0
AK系列高性能后托|GiveItem 201040144 1 0 0
AK系列FAB后托|GiveItem 201040145 1 0 0
Vector标准后托|GiveItem 201040178 1 0 0
Vector轻便后托|GiveItem 201040179 1 0 0
AR转接托芯|GiveItem 201040201 1 0 0
AK100系列通用托芯|GiveItem 201040204 1 0 0
AR高级延长托芯|GiveItem 201040205 1 0 0
M870专用拓展托芯|GiveItem 201040206 1 0 0
RPK16扩展托芯|GiveItem 201040207 1 0 0
SCAR-L转接托芯|GiveItem 201040208 1 0 0
RPD转接托芯|GiveItem 201040209 1 0 0
Banshee转接托芯|GiveItem 201040210 1 0 0
G28专用托芯|GiveItem 201040214 1 0 0
验证原型H416高级托芯|GiveItem 201040215 1 0 0
蛇式专用托芯|GiveItem 201040216 1 0 0
验证原型AN94延迟托芯|GiveItem 201040217 1 0 0
AK伸缩托芯转接器|GiveItem 201040301 1 0 0
AK适配PT转接器|GiveItem 201040302 1 0 0
AKS适配PT转接器|GiveItem 201040303 1 0 0
AKM适配PT转接器|GiveItem 201040306 1 0 0
M870专用缓冲转接器|GiveItem 201040308 1 0 0
Vector AR后托转接器|GiveItem 201040309 1 0 0
AR30 AR后托转接器|GiveItem 201040310 1 0 0
AR30托腮板|GiveItem 201040403 1 0 0
AR30橡胶垫|GiveItem 201040404 1 0 0
M24托腮板|GiveItem 201040405 1 0 0
USAS12缓冲垫|GiveItem 201040406 1 0 0
USAS12标准后托垫|GiveItem 201040407 1 0 0
Groza标准后托垫|GiveItem 201040408 1 0 0
Groza战术橡皮垫|GiveItem 201040409 1 0 0
P90缓冲后托垫|GiveItem 201040410 1 0 0
P90标准后托垫|GiveItem 201040411 1 0 0
DP 12标准后托垫|GiveItem 201040412 1 0 0
DP 12战术缓冲垫|GiveItem 201040413 1 0 0
T951托腮板|GiveItem 201040415 1 0 0
莫辛标准后托垫|GiveItem 201040416 1 0 0
AK100轻量化后托垫|GiveItem 201040419 1 0 0
DBR托腮板|GiveItem 201040420 1 0 0
QBZ19X托腮板|GiveItem 201040421 1 0 0
AK系列SF轻型后托|GiveItem 201040503 1 0 0
AK100轻量化后托|GiveItem 201040505 1 0 0
AN94现代化后托|GiveItem 201040506 1 0 0
AEK稳定后托|GiveItem 201040507 1 0 0
SVD战术现代托|GiveItem 201040542 1 0 0
SPC9伸缩托|GiveItem 201040582 1 0 0
验证原型M4A1突击托|GiveItem 201040591 1 0 0
M870 4发弹仓|GiveItem 201050009 1 0 0
M870 7发加长弹仓|GiveItem 201050010 1 0 0
M870 10发加长弹仓|GiveItem 201050011 1 0 0
SKS 10发内置盒式弹仓|GiveItem 201050015 1 0 0
MP 133 6发扩容弹仓|GiveItem 201050022 1 0 0
MP 133 8发扩容弹仓|GiveItem 201050023 1 0 0
MG3 100发弹链|GiveItem 201050070 1 0 0
DP 12标准弹仓|GiveItem 201050137 1 0 0
BIZON 53发弹筒|GiveItem 201050141 1 0 0
M249 50发弹袋|GiveItem 201050154 1 0 0
M249 100发尼龙弹袋|GiveItem 201050155 1 0 0
T09 5发管状弹仓|GiveItem 201050159 1 0 0
M2火焰喷射器专用燃料罐|GiveItem 201050174 1 0 0
RPT100发弹链盒|GiveItem 201050175 1 0 0
KS23 3发弹仓|GiveItem 201050177 1 0 0
EVOLYS 100发弹袋|GiveItem 201050181 1 0 0
M1887 4发弹仓|GiveItem 201050192 1 0 0
3.5倍镜环形基座|GiveItem 201060102 1 0 0
十字插槽镜架|GiveItem 201060105 1 0 0
34毫米混合镜架|GiveItem 201060120 1 0 0
紧凑级皮轨增高垫|GiveItem 201060126 1 0 0
全尺寸皮轨增高垫|GiveItem 201060127 1 0 0
多功能镜架|GiveItem 201060130 1 0 0
UNITY多功能镜架|GiveItem 201060131 1 0 0
EVOLYS专用脚架转接器|GiveItem 201060214 1 0 0
SVTU专用镜桥|GiveItem 201060338 1 0 0
SVTU专用皮轨镜桥|GiveItem 201060339 1 0 0
M24专用全覆盖式皮轨|GiveItem 201060341 1 0 0
T951三面轨|GiveItem 201060348 1 0 0
AKM标准消焰器|GiveItem 201070201 1 0 0
AR 15通用消焰器|GiveItem 201070202 1 0 0
G17专属消焰器|GiveItem 201070203 1 0 0
AK系经典消焰器|GiveItem 201070211 1 0 0
莫辛多孔消焰器|GiveItem 201070212 1 0 0
窄口消焰器|GiveItem 201070213 1 0 0
AR系多口径消焰器|GiveItem 201070214 1 0 0
MDR标准消焰器|GiveItem 201070215 1 0 0
FA精确消焰器|GiveItem 201070216 1 0 0
AK74稳定消焰器|GiveItem 201070217 1 0 0
AK74长管多孔消焰器|GiveItem 201070218 1 0 0
AKS 74U标准消焰器|GiveItem 201070219 1 0 0
AKM稳定消焰器|GiveItem 201070220 1 0 0
长管消焰器|GiveItem 201070221 1 0 0
AKM精确消焰器|GiveItem 201070222 1 0 0
7.62×51口径精确消焰器|GiveItem 201070223 1 0 0
7.62×51口径多孔消焰器|GiveItem 201070224 1 0 0
7.62×51口径经典消焰器|GiveItem 201070225 1 0 0
AKM高级稳定消焰器|GiveItem 201070226 1 0 0
5.56×45口径多孔消焰器|GiveItem 201070227 1 0 0
S12K多孔消焰器|GiveItem 201070228 1 0 0
M3A1 M9消焰器|GiveItem 201070231 1 0 0
T79消焰器|GiveItem 201070233 1 0 0
QC61消焰器|GiveItem 201070234 1 0 0
Vector45消焰器|GiveItem 201070236 1 0 0
P90专用消焰器|GiveItem 201070243 1 0 0
AEK专用消焰器|GiveItem 201070244 1 0 0
BM59专用消焰器|GiveItem 201070252 1 0 0
DP 12喉缩|GiveItem 201070257 1 0 0
DP 12短剑喉缩|GiveItem 201070258 1 0 0
DP 12战术喉缩|GiveItem 201070259 1 0 0
QBZ19X消焰器|GiveItem 201070267 1 0 0
QBZ19X消焰器|GiveItem 201070269 1 0 0
5.56x45CC消焰器|GiveItem 201070271 1 0 0
5.45x39CC消焰器|GiveItem 201070272 1 0 0
T87A防火帽|GiveItem 201070280 1 0 0
ZC807消焰器|GiveItem 201070281 1 0 0
F2000专用消焰器|GiveItem 201070282 1 0 0
AK系列5.56×45口径转接器|GiveItem 201070304 1 0 0
AK74系列特配消焰器|GiveItem 201070307 1 0 0
莫辛7.62×39口径转接器|GiveItem 201070311 1 0 0
莫辛7.62×51口径转接器|GiveItem 201070313 1 0 0
7.62×51口径消焰转接器|GiveItem 201070314 1 0 0
T88消焰器|GiveItem 201070321 1 0 0
A545专用补偿器|GiveItem 201070323 1 0 0
AKM系列标准防尘盖|GiveItem 201100007 1 0 0
SVDS标配防尘盖|GiveItem 201100013 1 0 0
VSS标配防尘盖|GiveItem 201100015 1 0 0
AKS 74U标准防尘盖|GiveItem 201100018 1 0 0
QC61标准防尘盖|GiveItem 201100031 1 0 0
AEK专用标准防尘盖|GiveItem 201100040 1 0 0
AEK专用皮轨防尘盖|GiveItem 201100041 1 0 0
VSS现代化防尘盖|GiveItem 201100044 1 0 0
T951标准提把|GiveItem 201100048 1 0 0
AK12防尘盖|GiveItem 201100052 1 0 0
T951战术提把|GiveItem 201100053 1 0 0
T951增强提把|GiveItem 201100054 1 0 0
T87A防尘盖|GiveItem 201100072 1 0 0
M870加长式型管|GiveItem 201110011 1 0 0
Vector专用手电|GiveItem 201120001 1 0 0
X300U-A战术手电|GiveItem 201120002 1 0 0
神火强力枪灯|GiveItem 201120003 1 0 0
紫光灯手电|GiveItem 201120004 1 0 0
标准两脚架|GiveItem 201130001 1 0 0
通用两脚架|GiveItem 201130002 1 0 0
T11专用两脚架|GiveItem 201130003 1 0 0
Negev-7专用两脚架|GiveItem 201130004 1 0 0
AR系列定制导气箍|GiveItem 201140001 1 0 0
AKM标准导气管|GiveItem 201140002 1 0 0
M4标准准星|GiveItem 201140003 1 0 0
H416专属导气箍|GiveItem 201140004 1 0 0
SVDS标准导气箍|GiveItem 201140005 1 0 0
AR 15短轨导气箍|GiveItem 201140007 1 0 0
AK系列VS组合导气箍|GiveItem 201140008 1 0 0
AK 74系列通用导气箍|GiveItem 201140009 1 0 0
AKS 74U系列通用导气管|GiveItem 201140010 1 0 0
G3基础拉机柄管|GiveItem 201140011 1 0 0
G3高级拉机柄管|GiveItem 201140012 1 0 0
蛇式专用导气箍|GiveItem 201140013 1 0 0
AR 15系列通用拉机柄|GiveItem 201150002 1 0 0
MP5标配拉机柄|GiveItem 201150003 1 0 0
MPX单卡扣拉机柄|GiveItem 201150004 1 0 0
MPX双卡扣拉机柄|GiveItem 201150006 1 0 0
H416加长拉机柄|GiveItem 201150007 1 0 0
AR 15定制化拉机柄|GiveItem 201150008 1 0 0
M110标准拉机柄|GiveItem 201150010 1 0 0
M110战术拉机柄|GiveItem 201150011 1 0 0
SCAR-L拉机柄|GiveItem 201150012 1 0 0
AK系列高级拉机柄帽|GiveItem 201150013 1 0 0
USAS12标准拉机柄帽|GiveItem 201150014 1 0 0
USAS12高级拉机柄帽|GiveItem 201150015 1 0 0
SG550拉机柄|GiveItem 201150016 1 0 0
MCX标准拉机柄|GiveItem 201150017 1 0 0
MP5K标配拉机柄|GiveItem 201150018 1 0 0
Banshee标准拉机柄|GiveItem 201150019 1 0 0
G28标准拉机柄|GiveItem 201150022 1 0 0
Scar-H标准拉机柄|GiveItem 201150023 1 0 0
SCAR-HAMR拉机柄|GiveItem 201150024 1 0 0
蛇式标准拉机柄|GiveItem 201150025 1 0 0
ZC807标准拉机柄|GiveItem 201150026 1 0 0
SPC9标准拉机柄|GiveItem 201150027 1 0 0
小型蓝点镭指器|GiveItem 201160001 1 0 0
IR灯镭指器|GiveItem 201160002 1 0 0
多功能镭指器|GiveItem 201160003 1 0 0
快速镭指器|GiveItem 201160004 1 0 0
绿色镭指器|GiveItem 201160005 1 0 0
蓝紫镭指器|GiveItem 201160006 1 0 0
FAMAS镭指器|GiveItem 201160007 1 0 0
RPK16枪盾|GiveItem 201170002 1 0 0
验证原型RPK16枪盾|GiveItem 201170003 1 0 0
通用式自动填弹器|GiveItem 201180001 1 0 0
防弹盾观察窗|GiveItem 201990001 1 0 0
闪光盾观察窗|GiveItem 201990002 1 0 0
5.56×45毫米HP狩猎弹|GiveItem 202030001 1 0 0
5.56×45毫米FMJ狩猎弹|GiveItem 202030002 1 0 0
9×19毫米达姆弹|GiveItem 202040005 1 0 0
12×70毫米RIP独头弹|GiveItem 202050001 1 0 0
12×70毫米7型鹿弹|GiveItem 202050002 1 0 0
12×70毫米Led独头弹|GiveItem 202050003 1 0 0
12×70毫米灰熊独头弹|GiveItem 202050004 1 0 0
12×70毫米GT独头弹|GiveItem 202050005 1 0 0
12×70毫米穿甲独头弹|GiveItem 202050006 1 0 0
12×70毫米8型鹿弹|GiveItem 202050007 1 0 0
12×70毫米5型鹿弹|GiveItem 202050008 1 0 0
12×70毫米飞镖鹿弹|GiveItem 202050009 1 0 0
12×70毫米双头弹|GiveItem 202050010 1 0 0
12×70毫米龙息弹|GiveItem 202050011 1 0 0
12×70毫米VS穿甲独头弹|GiveItem 202050012 1 0 0
M_M18烟雾弹|GiveItem 202160002 1 0 0
M_Z3震撼弹|GiveItem 202160003 1 0 0
M_M84闪光弹|GiveItem 202160004 1 0 0
M_燃烧瓶|GiveItem 202160005 1 0 0
M_X 5脚步发生器|GiveItem 202160006 1 0 0
M_GLI F4催泪烟雾弹|GiveItem 202160007 1 0 0
M_BOSS_Z3震撼弹|GiveItem 202160009 1 0 0
26.5毫米红色信号弹|GiveItem 202180001 1 0 0
26.5毫米黄色信号弹|GiveItem 202180002 1 0 0
26.5毫米绿色信号弹|GiveItem 202180003 1 0 0
26.5毫米绿色信号弹|GiveItem 202180004 1 0 0
26.5毫米红色信号弹|GiveItem 202180005 1 0 0
26.5毫米红色信号弹|GiveItem 202180006 1 0 0
PG-7VM火箭弹|GiveItem 202190001 1 0 0
PG-7VM火箭弹|GiveItem 202190002 1 0 0
23×75毫米Zvezda闪光震撼弹|GiveItem 202190004 1 0 0
M674催泪弹|GiveItem 202190005 1 0 0
弩箭|GiveItem 202200001 1 0 0
狩猎马甲|GiveItem 301010101 1 0 0
ALS携行弹挂|GiveItem 301010102 1 0 0
BH步兵胸挂|GiveItem 301010103 1 0 0
BH2型胸挂|GiveItem 301010104 1 0 0
冲锋手2型弹挂|GiveItem 301010105 1 0 0
B6战术弹挂|GiveItem 301010106 1 0 0
926猎手背心|GiveItem 301010107 1 0 0
B4战术弹挂|GiveItem 301010108 1 0 0
926轻型胸挂|GiveItem 301010109 1 0 0
RAP简易弹挂|GiveItem 301010110 1 0 0
FA指挥官胸挂|GiveItem 301010111 1 0 0
FA多功能胸挂|GiveItem 301010112 1 0 0
B3通用弹挂|GiveItem 301010113 1 0 0
冲锋手3型战术弹挂|GiveItem 301010114 1 0 0
冲锋手4型战术弹挂|GiveItem 301010115 1 0 0
926高级野战胸挂|GiveItem 301010116 1 0 0
朋克摩托背心|GiveItem 301010118 1 0 0
牛皮摩托背心|GiveItem 301010119 1 0 0
Lifchik弹挂|GiveItem 301010120 1 0 0
ZH-1战术胸挂|GiveItem 301010121 1 0 0
926夜枭胸挂|GiveItem 301010122 1 0 0
无畏者3型弹挂|GiveItem 301010123 1 0 0
冲锋手4C型战术指挥弹挂|GiveItem 301010124 1 0 0
B3护卫弹挂|GiveItem 301010125 1 0 0
B3战术弹挂|GiveItem 301010126 1 0 0
FA便携型胸挂|GiveItem 301010127 1 0 0
游击胸挂|GiveItem 301010128 1 0 0
深潜服弹挂|GiveItem 301010129 1 0 0
新手关弹挂|GiveItem 301010130 1 0 0
乱斗试炼专用弹挂|GiveItem 301010131 1 0 0
乱斗试炼弹挂透明版|GiveItem 301010132 1 0 0
斯巴达C重装弹挂甲|GiveItem 301010201 1 0 0
926安保胸挂甲|GiveItem 301010202 1 0 0
勇士重型胸挂甲|GiveItem 301010203 1 0 0
哨兵3型胸挂甲|GiveItem 301010204 1 0 0
6B5弹挂甲|GiveItem 301010205 1 0 0
TM1胸挂甲|GiveItem 301010206 1 0 0
TM2胸挂甲|GiveItem 301010207 1 0 0
哨兵305胸挂甲|GiveItem 301010208 1 0 0
H-Tac A8弹挂甲|GiveItem 301010209 1 0 0
H-Tac A9弹挂甲|GiveItem 301010210 1 0 0
AVS重装弹挂甲|GiveItem 301010211 1 0 0
M1955战斗马甲|GiveItem 301010212 1 0 0
防卫者M4重装弹挂甲|GiveItem 301010213 1 0 0
H-Tac A10弹挂甲|GiveItem 301010214 1 0 0
BTS10重型弹挂甲|GiveItem 301010215 1 0 0
防卫者M3重装弹挂甲|GiveItem 301010216 1 0 0
哨兵308突击胸挂甲|GiveItem 301010217 1 0 0
PM-D型弹挂甲|GiveItem 301010218 1 0 0
SEK野战重装弹挂甲|GiveItem 301010219 1 0 0
H-Tac 500弹挂甲|GiveItem 301010220 1 0 0
AL突击弹挂甲|GiveItem 301010222 1 0 0
AL战术弹挂甲|GiveItem 301010223 1 0 0
AL指挥官弹挂甲|GiveItem 301010224 1 0 0
6B02胸挂甲|GiveItem 301010225 1 0 0
民兵胸挂甲|GiveItem 301010226 1 0 0
PM-V型重装弹挂甲|GiveItem 301010227 1 0 0
AVS-T重装弹挂甲|GiveItem 301010228 1 0 0
PM-G型重装弹挂甲|GiveItem 301010229 1 0 0
AL制式弹挂甲|GiveItem 301010230 1 0 0
PM-R型弹挂甲|GiveItem 301010231 1 0 0
游击作战马甲|GiveItem 301010232 1 0 0
宝藏猎人·6B5弹挂甲|GiveItem 301010233 1 0 0
乔尔|GiveItem 301010234 1 0 0
公爵|GiveItem 301010235 1 0 0
骑士|GiveItem 301010236 1 0 0
哨兵308突击透明胸挂甲|GiveItem 301010237 1 0 0
简易挎包|GiveItem 301020009 1 0 0
运动背囊|GiveItem 301020011 1 0 0
帆布野营背囊|GiveItem 301020012 1 0 0
老式行军背囊|GiveItem 301020020 1 0 0
显眼背囊|GiveItem 301020021 1 0 0
星空沙漠户外旅行包|GiveItem 301020024 1 0 0
速递双肩包|GiveItem 301020028 1 0 0
显眼背囊|GiveItem 301020029 1 0 0
一键三连·运动背囊|GiveItem 301020030 1 0 0
下次一定·运动背囊|GiveItem 301020031 1 0 0
2333·运动背囊|GiveItem 301020032 1 0 0
邮差携行包|GiveItem 301020034 1 0 0
坦克兵防护帽|GiveItem 301040020 1 0 0
工业防护盔|GiveItem 301040051 1 0 0
秋日南瓜盔|GiveItem 301040053 1 0 0
财神防弹帽|GiveItem 301040055 1 0 0
庆典防弹帽|GiveItem 301040056 1 0 0
游击作战盔|GiveItem 301040057 1 0 0
实验型全头防护系统Ⅰ型|GiveItem 301040061 1 0 0
鸡冠帽|GiveItem 301040065 1 0 0
生化防护盔|GiveItem 301040066 1 0 0
L2Fshield|GiveItem 301050004 1 0 0
神火强力枪灯头戴版|GiveItem 301050018 1 0 0
老式防弹马甲|GiveItem 301060021 1 0 0
老式工兵防弹胸甲|GiveItem 301060030 1 0 0
老式步兵防弹背心|GiveItem 301060031 1 0 0
简易安全箱|GiveItem 301090001 1 0 0
加固安全箱|GiveItem 301090002 1 0 0
抗震安全箱|GiveItem 301090003 1 0 0
防弹安全箱|GiveItem 301090004 1 0 0
防爆安全箱|GiveItem 301090005 1 0 0
复合安全箱|GiveItem 301090006 1 0 0
装甲安全箱|GiveItem 301090007 1 0 0
回归安全箱|GiveItem 301090008 1 0 0
特种安全箱|GiveItem 301090009 1 0 0
共享安全箱|GiveItem 301090010 1 0 0
安全箱|GiveItem 301090099 1 0 0
标准口袋|GiveItem 301100001 1 0 0
测试用扩展口袋|GiveItem 301100002 1 0 0
局内暂存空间|GiveItem 301100003 1 0 0
局内地面散点空间|GiveItem 301100004 1 0 0
T7热成像仪|GiveItem 301120001 1 0 0
单边热成像仪|GiveItem 301120002 1 0 0
四目白磷管夜视仪|GiveItem 301120101 1 0 0
双目军用夜视仪|GiveItem 301120102 1 0 0
红色贝雷帽|GiveItem 301130001 1 0 0
九号特遣组·贝雷帽|GiveItem 301130002 1 0 0
牛仔棒球帽|GiveItem 301130003 1 0 0
羊绒针织帽|GiveItem 301130005 1 0 0
灰色牛仔帽|GiveItem 301130006 1 0 0
黑色棒球帽|GiveItem 301130007 1 0 0
皮革棒球帽|GiveItem 301130008 1 0 0
卡其色棉帽|GiveItem 301130009 1 0 0
教官宽边毡帽|GiveItem 301130010 1 0 0
船形帽|GiveItem 301130011 1 0 0
牛仔骑兵帽|GiveItem 301130012 1 0 0
黑色羊毛棉帽|GiveItem 301130014 1 0 0
飞行员护耳帽|GiveItem 301130017 1 0 0
空军大檐帽|GiveItem 301130018 1 0 0
军用巴拿马帽|GiveItem 301130019 1 0 0
尖顶骑兵帽|GiveItem 301130020 1 0 0
军绿色贝雷帽|GiveItem 301130021 1 0 0
红色牛仔棒球帽|GiveItem 301130022 1 0 0
专业运动太阳镜|GiveItem 301140003 1 0 0
灰色户外安全眼镜|GiveItem 301140004 1 0 0
灰色太阳镜|GiveItem 301140005 1 0 0
黑色太阳镜|GiveItem 301140007 1 0 0
